등록번호,청구기호,소장/대여,제목,분야,유형,연도,판형,면수,부수,종이,인쇄 및 후가공,제본,ISBN/ISSN,저자/작가,기획자/편집자,사진가/일러스트레이터,디자이너,발행처,발행일,후원,원본경로
0001,00 A 001,신신,사공보다 많은 산,미술,도록,2022,210×297,232,1000,문켄 폴라; 아도니스 러프,오프셋 인쇄; 별색 인쇄,무선 제본,979-11-968743-3-9,,,김중원,신신; 윤선영; 인현진,강원문화재단,2022.09.29.,,신신/신신-강원작가트리엔날레/신신-강원작가트리엔날레 도록20220920
0002,,,"의왕, 두터운 현재",미술,도록,2021,210×297,172,200,센토; 그린라이트,오프셋 인쇄,무선 제본,979-11-89046-20-0,,민병은; 오다예,,박경민,경기도문화원연합회,2021.12.31.,경기도; 경기도의회,01거래처/박경민/박경민-미래유물전(의왕 두터운현재)20220425
0003,00 A 002,홍은주,컬러풀,미술,도록,2015,182×257,108,,,,,978-89-97375-30-1,강운; 노상균; 유현미; 이불,윤가혜,박준식,홍은주 김형재,경기도미술관,2015.11.12.,,홍은주/홍은주-컬러풀-도록20151221
0004,00 A 003,신신,리듬풍경,미술,도록,2017,210×297,104,250,몽블랑; 매직칼라,오프셋 인쇄; 별색 인쇄,PUR 제본,978-89-97375-36-3,,최은주; 이채영; 방초아,데시마 히로시,신신,경기도미술관,2017.12.22.,예술경영지원센터,신신/신신-경기도미술관 리듬풍경 전시 도록 20180122
0005,00 A 004,O,"경기 아카이브 지금,",미술,도록,2018,215×280,744,500,미라클; 모조지; 스노우지,오프셋 인쇄; 별색 인쇄; 표지에 라미네이팅; 표지에 박,사철 제본; 둥근양장; 오리꼬미; 가름끈; 헤드밴드,978-89-999-0150-8,,김종길; 최윤경; 이생강; 조무호,박준식; 이현석,강경탁; 장윤경,경기도미술관,2018.12.31.,(사)한국예총 경기도연합회; (사)경기도민족예술인총연합회; 경기도문화원연합회; 경기도문화재단협의회; (사)경기도박물관협회; (사)한국작가회의; 경기도사이버도서관,05강경탁과 페도라/2018/경기아카이브_지금20181226
0006,,,2016 아트경기 START UP,미술,도록,2016,200×280,156,,,,,,,박혜경; 정재호,김상태,김석현,경기문화재단; 에이트 인스티튜트,2016.,경기창조경제혁신센터; 판교테크노밸리; 경기도문화의전당,01거래처/GALLERY2/GALLERY2-아트경기_인쇄용20160830
0007,00 A 005,O,산책자의 시선,미술,도록,2016,220×290,212,500,CCP; 아트지; 프라나스; 바르니,오프셋 인쇄; 표지에 박,PUR 제본; 오타바인딩,978-89-97375-33-2,,이채영,ImageBox Studio,강경탁; 장윤정,경기문화재단,2016.12.30.,,05강경탁과 페도라/2017/산책자의시선 (도록)
0008,,,가족 보고서,미술,도록,2017,210×297,158,300,포커스; 모조지,오프셋 인쇄; 별색 인쇄; 표지에 라미네이팅; 표지에 톰슨,PUR 제본; 오리꼬미,978-89-999-0085-3,,최은주; 김지희; 장효진,디유크리에이티브,강경탁,경기문화재단,2017.06.30.,,05강경탁과 페도라/2017/경기도미술관-가족보고서-도록20170626
0009,00 A 006,O,경기아트프리즘 2017,미술,도록,2017,175×240,56,1000,미스틱,오프셋 인쇄,노출 무선 제본,978-89-999-0089-1,,,,강경탁; 장윤정,경기문화재단; 경기도미술관,2017.11.09.,경기도,05강경탁과 페도라/2017/경기도미술관(경기아트프리즘 북클릿)20171106 
0010,,,미술은 폼이다,미술,도록,2018,132×132,107,,,인디고 출력,,978-89-999-0131-7,박주현,최혜경; 장효진,디유크리에이티브,11층,경기문화재단,2018.08.31.,,김대순/김대순-폼이다 도록20180912
0011,,,판화하다 — 한국현대판화 60년,미술,도록,2018,225×280,224,700,문켄 퓨어 러프; 모조지; 브리에,오프셋 인쇄; 표지에 형압,사철 제본; 날개,,,강민지; 장효진,김진솔,11층,경기문화재단,2018.08.,,김대순/김대순-경기도미술관 판화전 도록20180829
0012,,,여산 양달석,미술,도록,2021,210×265,240,500,프리터; 미라클; 문켄 퓨어 러프; 매직칼라,오프셋 인쇄; 별색 인쇄,무선 제본,979-11-960682-9-5,,박지영,박동석,스루컴퍼니,경남도립미술관,2021.11.01.,,01거래처/아이디얼(정한얼)/아이디얼(이예슬)-양달석 도록제작20211119
0013,,,황혜홀혜 恍兮惚兮,미술,도록,2021,210×280,280,,,,,979-11-977026-4-8,곽영빈; 이동국; 이미영; 정병규,이미영,김찬수,김대순; 정한얼,경남도립미술관,2021.12.,,01거래처/아이디얼(정한얼)/아이디얼-경남도립 전시도록20220527
0014,,,돌봄사회,미술,도록,2022,170×240,184,500,클래식린넨; 문켄 프린트; 스펙트라,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 표지에 형압,무선 제본; 날개,979-11-977026-5-5,김종원; 안진화; 이연숙,안진화,,아이디얼,경남도립미술관,2022.02.01.,,01거래처/아이디얼(정한얼)/아이디얼-돌봄사회 도록20220902
0015,,,박봉기: 두 번의 산책,미술,도록,2022,210×285,224,700,디프매트; 매직칼라; 아레나,오프셋 인쇄; 표지에 박; 표지에 형압,PUR 제본; 오타바인딩; 날개,979-11-977026-2-4,박봉기; 김경서; 안소연; 유현주,박지영,,아이디얼,경남도립미술관,2022.07.01.,,01거래처/아이디얼(정한얼)/아이디얼-박봉기 도록20220830
0016,00 A 007,O,"풍경을, 풍경으로",미술,도록,2022,230×273,128,,미라클; 그문드 컬러매트; 문켄 프린트,오프셋 인쇄,,979-11-977026-7-9,김종원; 배태주; 최옥경,최옥경,,아이디얼,경남도립미술관,2022.12.01.,,01거래처/아이디얼(정한얼)/아이디얼-풍경을 풍경으로도록20230419
0017,,,아카이브 리듬,미술,도록,2023,170×240,312,300,인스퍼 스무스; 아도니스 러프; 모조지,오프셋 인쇄; 별색 인쇄,무선 제본; 날개,979-11-983510-0-5,이건용; 안규철; 방정아; 박금숙; 이미영; 이병희; 조선령; 윤원화,이미영,박동석,아이디얼,경남도립미술관,2023.12.20.,,01거래처/아이디얼(정한얼)/아이디얼-경남도립 아카이브리듬20240110
0018,,,오후 세 시,미술,도록,2024,210×270,248,400,메탈팩보드; 아트지; 문켄 프린트; 인스퍼 러프,오프셋 인쇄; 표지에 UV 출력; 표지에 형압,무선 제본,979-11-983510-8-1,이정우; 반이정,박지영; 김세령,박동석,닷엠에스지,경남도립미술관,2024.06.01.,,01거래처/아이디얼(정한얼)/아이디얼-경남도립 오후세시 전시도록20240529
0019,00 A 008,O,실로 어마어마한 일이다,미술,도록,2025,168×250,240,500,티엠보스; 인스퍼 러프; 매직칼라,오프셋 인쇄; 표지에 박; 표지에 형압,사철 제본; 각양장; 헤드밴드; 가름끈,979-11-993120-0-5,박수지; 이정우-임근준,박지영,박동석,칠월,경남도립미술관,2025.06.13.,,00/2025년 06월작업진행/칠월-GAM 실로 도록20250623
0020,,,박대성: 불국설경,미술,도록,2015,260×360,160,,,오프셋 인쇄,사철 제본; 각양장,,박대성,윤범모; 김아림; 박정숙; 최선영; 엄미혜; 이희락,김종욱,이유현; 송승재,경주솔거미술관,2015.08.22.,경상북도; 경주시; 문화엑스포; 경주문화재단,01거래처/송승재/송승재-박대성제작물20150816
0021,,,우리 미의 특성을 찾는 3인의 여정,미술,도록,2020,220×300,44,,랑데뷰,오프셋 인쇄; 표지에 박,,,김경인; 박대성; 심정수,이재욱,,이유현,경주솔거미술관,2020.06.29.,,01거래처/ARSO(이유현)/ARSO(이유현)-솔거미술관(3인의 여정-도록)20200619
0022,,,광주 문화를 누리다,미술,도록,2018,190×255,48,500,하이플러스; 몽블랑,오프셋 인쇄; 표지에 코팅,무선 제본; 날개,,,광주뮤지엄협의회,박종호,한빛디자인,광주뮤지엄협의회,2018.11.,,01거래처/한빛디자인/한빛디자인-GGMC도록20181022
0023,,,광주와 함께하는 뮤지엄 육관육색,미술,도록,2023,190×255,48,400,아르떼,오프셋 인쇄; 표지에 코팅,무선 제본; 날개,,,,,한빛디자인,광주뮤지엄협의회,2023.12.04.,,01거래처/한빛디자인/한빛디자인-GGMC도록20231204
0024,00 A 009,O,"찬란하고 아름다운 천년의 이름, 신라",미술,도록,2018,200×300,20,1000,구김주름지; 비비칼라; 미라클; 모조지,오프셋 인쇄; 별색 인쇄; 표지에 박,아코디언 접지; 하드커버; 봉투,,,,,워크룸,국립경주박물관,2018.12.,,02워크룸1층/2018/_NOT BOOK/국립경주박물관 브로셔
0025,00 A 010,이경수,금용 일섭 — 근대 부처를 만들다,미술,도록,2018,188×230,208,500,문켄 폴라; 비비칼라; 아르떼,오프셋 인쇄,무선 제본; 날개,978-89-86824-51-3,,김영희,오세윤,워크룸,국립광주박물관,2018.05.17.,,02워크룸1층/2018/광주박물관 금용 일섭 도록
0026,00 A 011,O,문자와 삽화: 알브레히트 뒤러의 판화를 만나다,미술,도록,2023,200×280,224,1000,아트지; 밍크; 인스퍼 러프,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 표지에 박,사철 제본; 둥근양장,979-11-983361-2-5,얀 졸딘; 안용준; 이소지; 양진희; 이예지; 오동숙; 크리스 로,박준호; 양진희; 김리원; 이정연; 이지혜,김영광; 요나스 타우벤로이터,프론트도어,국립세계문자박물관,2023.12.01.,,프론트도어/프론트도어-문자와 삽화_도록20231201
0027,00 A 012,O,달의 이면,미술,도록,2017,200×265,400,,,오프셋 인쇄; 표지에 박,사철 제본; 각양장,979-11-962284-3-9,김성원; 이지원,강유미,홍철기,강준모,국립아시아문화전당,2017.12.20.,,01거래처/국립아시아문화전당/국립아시아문화전당-달의 이면_Catalog20171211
0028,,,이주 서사,미술,도록,2019,160×220,248,,,,무선 제본,979-11-89652-26-5,곽소연; 난나 하이덴라이히; 김해주; 노민투야 바산쿠; 시무라브로스; 사비르 후세인 무스타파; 샤옌궈; 에녹 젱; 믹스라이스; 정메이야; 줄리아 사리세티아티; 뻰와디 노파껫 마논; 박재용; 콜린 모엣,곽소연,김사라,맛깔손,국립아시아문화전당,2019.11.22.,,01거래처/MHTL(최희은)/최희은-ACC 마이그레이션20191119
0029,,,보물선 3.0 — 비밀을 여는 시간,미술,도록,2022,200×265,160,,큐리어스 매터; 아트지,오프셋 인쇄; 표지에 박; 자켓에 라미네이팅; 자켓에 톰슨,무선 제본; 자켓,979-11-92402-19-2,,장현희,시스테인워크스; 김진호,건축사사무소 엠티오,국립아시아문화전당,2022.12.30.,,01거래처/MTO(엠티오)/엠티오-보물선 아카이빙북20230104
0030,00 A 013,O,"걷기, 헤매기",미술,도록,2023,115×165,512,400,클래식 텍스처; 문켄 폴라; 모조지,오프셋 인쇄; 별색 인쇄; 자켓에 CR 코팅,PUR 제본; 자켓; 책갈피,979-11-92402-28-4,이주연; 박예원; 박소현; 박솔뫼; 김서라; 김미정,김깃,피스 피스; 김선우,인현진,국립아시아문화전당,2023.07.01.,,신신/신신-국립아시아문화전당 걷기 헤매기 20230726
0031,00 A 014,O,2025 ACC 포커스: 료지 이케다,미술; 공연·영화,도록,2025,225×295,180,400,앤틱블랙; 블랙골드; 아레나; 아티젠,오프셋 인쇄; 별색 인쇄; 표지에 박; 케이스에 UV 출력,노출 사철 제본; 케이스; 삽지,979-11-92402-86-4,이애경; 이주연; 료지 이케다,,이세현,낫심플,국립아시아문화전당,2025.12.,,00/2025년 11월작업진행/낫심플-료지이케다 도록20251125
0032,00 A 015,O,우리의 몸에는 타인이 깃든다,미술,도록,2025,135×216,520,300,씨알룩스; 매직칼라; W라이트; 몽블랑,오프셋 인쇄; 표지에 박; 표지에 형압,사철 제본; 둥근양장; 헤드밴드; 가름끈,979-11-92402-88-8,,이규열,박선호스튜디오; 김선우; 박현진; 임정연; 스튜디오 수직수평,낫심플,국립아시아문화전당,2025.11.28.,,00/2025년 12월작업진행/낫심플-우리의몸에는타인이깃든다20251202
0033,,,"평안, 어느 봄날의 기억",미술,도록,2020,228×280,252,2000,앙상블,오프셋 인쇄; 표지에 라미네이팅; 표지에 에폭시; 표지에 박,무선 제본; 날개,978-89-93518-83-2,문동수; 허문행; 선유이; 오세은; 민보라; 조진희; 정현; 양수미; 장연희; 고수린; 박혜윤,오세은; 박진일; 이희연,,닷츠,국립중앙박물관,2020.11.20.,,01거래처/닷츠/닷츠-중박평안감사도록20201111
0034,,,일본미술 네 가지 시선,미술,도록,2025,188×250,132,500,올드밀; 모조지,오프셋 인쇄; 별색 인쇄,무선 제본; 날개,978-89-8164-292-1,권강미; 최종은; 이원진; 김희주; 정미연; 김경은; 시나가와 요시야; 요코야마 아즈사; 오야마 유즈루하; 후쿠시마 오사무; 무토베 가쓰노리; 미카사 게이코; 쓰치야 다카히로; 가와기시 세리; 아사미 류스케; 무라세 가나,권강미; 최종은; 이원진; 김경은,김광섭; 후지세 유스케; 요시오카 요시아키,프론트도어,국립중앙박물관,2025.06.16.,,00/2025년 05월작업진행/프론트도어-일본미술_도록20250529
0035,00 A 016,유윤석,"오션 사이언스 아트: 바다, 미시, 미감",미술,도록,2018,220×280,44,8000,아티젠,오프셋 인쇄; 별색 인쇄,중철 제본,979-11-88805-09-9,,주강현; 이상현; 신소명,,프랙티스,국립해양박물관,2018.12.01.,,04프랙티스/국립해양박물관
0036,00 A 017,O,덕수궁 프로젝트,미술,도록,2012,240×370,128,500,구김주름지; 마분지; 메리트,오프셋 인쇄; 표지에 박,사철 제본; 각양장,978-89-6303-041-8,이수경; 서도호; 김영석; 이정화; 정서영; 류한길; 김지영; 임항택; 하지훈; 류재하; 성기완; 김인혜,김인혜,박명래,워크룸,국립현대미술관,2012.11.07.,,02워크룸1층/2013/덕수궁프로젝트-제작용
0037,00 A 018,국현,미래는 지금이다!,미술,도록,2013,140×210,68,,모조지; 스노우지,,,978-89-6303-084-5,이수정,이수정,,TEXT,국립현대미술관,2013.10.22.,,01거래처/국립현대미술관/국립현대미술관-미래는지금이다
0038,00 A 019,유윤석,2014 국립현대미술관 창작스튜디오 입주작가,미술,도록,2014,160×220,128,1300,몽블랑; 그라시아; 매직칼라,오프셋 인쇄; 별색 인쇄; 표지에 라미네이팅,PUR 제본,,,류지연; 김유미; 최승현; 박희정; 김미정,,프랙티스,국립현대미술관,2014.04.18.,,04프랙티스/국립창작스튜디오
0039,00 A 020,국현,초자연,미술,도록,2014,140×208,216,,,,,978-89-6303-087-6,김윤철; 리경; 백정기,최흥철,조영하,홍은주 김형재; 유연주,국립현대미술관,2014.09.02.,,홍은주/홍은주-초자연
0040,00 A 021,국현,한진해운 박스 프로젝트 2014: 레안드로 에를리치,미술,도록,2014,225×280,152,700,스노우지; 엔젤클로스; 메리트,오프셋 인쇄; 자켓에 코팅; 표지에 박,사철 제본; 각양장; 자켓; 헤드밴드; 가름끈,978-89-6303-088-3,,,이미지 줌,워크룸,국립현대미술관,2014.11.31.,한진해운,02워크룸1층/2014/레안드로 에를리치도록-제작용
0041,00 A 022,국현,2015 현장제작설치 인터플레이,미술,도록,2015,210×280,60,,,,,978-89-6303-106-4,,최흥철,조영하,오디너리피플,국립현대미술관,2015.08.30.,,01거래처/오디너리피플/오디너리피플-BOOK2종20150907
0042,00 A 023,유윤석,국립현대미술관 고양레지던시 오픈스튜디오 10,미술,도록,2015,244×306,240,,,,,,,최은주; 류지연; 최승현; 김미정,차주용,프랙티스,국립현대미술관,2015.03.13.,,04프랙티스/고양레지던스도록_0307
